date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:47:48	88610/88610	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2006%20Apr%202023%2012:24:10%20GMT	https://coredgex.com/wp-content/plugins/nextend-smart-slider3-pro/Public/SmartSlider3/Application/Frontend/Assets/dist/n2.min9215.js?ver=8760d546	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/plugins/nextend-smart-slider3-pro/Public/SmartSlider3/Application/Frontend/Assets/dist/n2.min92159215.js	(from https://coredgex.com/)
01:47:48	13909/13909	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2006%20Apr%202023%2012:24:10%20GMT	https://coredgex.com/wp-content/plugins/nextend-smart-slider3-pro/Public/SmartSlider3/Slider/SliderType/Simple/Assets/dist/ss-simple.min9215.js?ver=8760d546	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/plugins/nextend-smart-slider3-pro/Public/SmartSlider3/Slider/SliderType/Simple/Assets/dist/ss-simple.min92159215.js	(from https://coredgex.com/)
01:47:48	211105/211105	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2006%20Apr%202023%2012:24:10%20GMT	https://coredgex.com/wp-content/plugins/nextend-smart-slider3-pro/Public/SmartSlider3/Application/Frontend/Assets/dist/smartslider-frontend.min9215.js?ver=8760d546	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/plugins/nextend-smart-slider3-pro/Public/SmartSlider3/Application/Frontend/Assets/dist/smartslider-frontend.min92159215.js	(from https://coredgex.com/)
01:47:49	24900/24900	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2006%20Apr%202023%2012:24:10%20GMT	https://coredgex.com/wp-content/plugins/nextend-smart-slider3-pro/Public/SmartSlider3/Slider/SliderType/Simple/Assets/dist/smartslider-backgroundanimation.min9215.js?ver=8760d546	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/plugins/nextend-smart-slider3-pro/Public/SmartSlider3/Slider/SliderType/Simple/Assets/dist/smartslider-backgroundanimation.min92159215.js	(from https://coredgex.com/)
01:47:49	4831/4831	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2006%20Apr%202023%2012:24:10%20GMT	https://coredgex.com/wp-content/plugins/nextend-smart-slider3-pro/Public/SmartSlider3/Widget/Bullet/Assets/dist/w-bullet.min9215.js?ver=8760d546	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/plugins/nextend-smart-slider3-pro/Public/SmartSlider3/Widget/Bullet/Assets/dist/w-bullet.min92159215.js	(from https://coredgex.com/)
01:47:50	945/945	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2006%20Apr%202023%2012:24:10%20GMT	https://coredgex.com/wp-content/plugins/nextend-smart-slider3-pro/Public/SmartSlider3/Widget/Arrow/ArrowImage/Assets/dist/w-arrow-image.min9215.js?ver=8760d546	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/plugins/nextend-smart-slider3-pro/Public/SmartSlider3/Widget/Arrow/ArrowImage/Assets/dist/w-arrow-image.min92159215.js	(from https://coredgex.com/)
01:47:51	99807/99807	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Sep%202023%2005:34:35%20GMT	https://coredgex.com/images/logo.png	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/images/logo.png	(from https://coredgex.com/)
01:47:51	116244/116244	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Mar%202024%2000:47:50%20GMT	https://coredgex.com/about.php	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/about.html	(from https://coredgex.com/)
01:47:51	120153/120153	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Mar%202024%2000:47:51%20GMT	https://coredgex.com/services.php	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/services.html	(from https://coredgex.com/)
01:47:51	120874/120874	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Mar%202024%2000:47:51%20GMT	https://coredgex.com/faq.php	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/faq.html	(from https://coredgex.com/)
01:47:51	182/182	---M-Z	200	added ('OK')	text/html	date:Sun,%2003%20Mar%202024%2000:47:51%20GMT	https://coredgex.com/cert.php	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/cert.html	(from https://coredgex.com/)
01:47:52	111235/111235	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Mar%202024%2000:47:52%20GMT	https://coredgex.com/contact.php	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/contact.html	(from https://coredgex.com/)
01:47:52	13994/13994	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Mar%202024%2000:47:52%20GMT	https://coredgex.com/login.php	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/login.html	(from https://coredgex.com/)
01:47:52	15043/15043	---M-Z	200	added ('OK')	text/html	date:Sun,%2003%20Mar%202024%2000:47:52%20GMT	https://coredgex.com/register.php	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/register.html	(from https://coredgex.com/)
01:47:53	105614/105614	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202023%2012:24:10%20GMT	https://coredgex.com/wp-content/uploads/2022/11/exchange-2.jpg	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/uploads/2022/11/exchange-2.jpg	(from https://coredgex.com/)
01:47:54	169399/169399	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202023%2012:24:10%20GMT	https://coredgex.com/wp-content/uploads/2022/10/aspire-11.jpg	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/uploads/2022/10/aspire-11.jpg	(from https://coredgex.com/)
01:47:54	7166/7166	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202023%2012:24:10%20GMT	https://coredgex.com/wp-content/uploads/slider2/chinaslide.jpg	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/uploads/slider2/chinaslide.jpg	(from https://coredgex.com/)
01:47:55	208098/208098	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202023%2012:24:10%20GMT	https://coredgex.com/wp-content/uploads/2022/10/aspire-5.jpg	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/uploads/2022/10/aspire-5.jpg	(from https://coredgex.com/)
01:47:55	167893/167893	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202023%2012:24:10%20GMT	https://coredgex.com/wp-content/uploads/2022/10/real-12.jpg	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/uploads/2022/10/real-12.jpg	(from https://coredgex.com/)
01:47:55	12992/12992	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202023%2012:24:11%20GMT	https://coredgex.com/wp-content/plugins/elementor/assets/css/widget-icon-box.min.css	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/plugins/elementor/assets/css/widget-icon-box.min.css	(from https://coredgex.com/)
01:47:55	118575/118575	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202023%2012:24:10%20GMT	https://coredgex.com/wp-content/uploads/2022/10/Untitled-design-28-1024x693.jpg	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/uploads/2022/10/Untitled-design-28-1024x693.jpg	(from https://coredgex.com/)
01:47:56	25034/25034	---M--	200	added ('OK')	image/jpeg	date:Mon,%2016%20Oct%202023%2020:52:12%20GMT	https://coredgex.com/wp-content/uploads/2022/10/founder.jpg	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/uploads/2022/10/founder.jpg	(from https://coredgex.com/)
01:47:56	71088/71088	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202023%2012:24:10%20GMT	https://coredgex.com/wp-content/uploads/2022/11/about-01-free-img.jpg	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/uploads/2022/11/about-01-free-img.jpg	(from https://coredgex.com/)
01:47:56	31950/31950	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202023%2012:24:10%20GMT	https://coredgex.com/wp-content/uploads/2022/10/Untitled-design-30.jpg	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/uploads/2022/10/Untitled-design-30.jpg	(from https://coredgex.com/)
01:47:57	23430/23430	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202023%2012:24:10%20GMT	https://coredgex.com/wp-content/uploads/2022/10/Untitled-design-31.jpg	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/uploads/2022/10/Untitled-design-31.jpg	(from https://coredgex.com/)
01:47:57	416980/416980	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Sep%202023%2005:53:31%20GMT	https://coredgex.com/wp-content/uploads/2022/11/grand.png	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/uploads/2022/11/grand.png	(from https://coredgex.com/)
01:47:57	254353/254353	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202023%2012:24:10%20GMT	https://coredgex.com/wp-content/uploads/2022/10/aspire-6.jpg	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/uploads/2022/10/aspire-6.jpg	(from https://coredgex.com/)
01:47:58	194151/194151	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202023%2012:24:10%20GMT	https://coredgex.com/wp-content/uploads/2022/10/aspire-3.jpg	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/uploads/2022/10/aspire-3.jpg	(from https://coredgex.com/)
01:47:58	228245/228245	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202023%2012:24:10%20GMT	https://coredgex.com/wp-content/uploads/2022/10/aspire-2.jpg	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/uploads/2022/10/aspire-2.jpg	(from https://coredgex.com/)
01:47:58	218057/218057	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202023%2012:24:10%20GMT	https://coredgex.com/wp-content/uploads/2022/10/aspire-1.jpg	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/uploads/2022/10/aspire-1.jpg	(from https://coredgex.com/)
01:47:58	324520/324520	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202023%2012:24:10%20GMT	https://coredgex.com/wp-content/uploads/2022/10/aspire-7.jpg	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/uploads/2022/10/aspire-7.jpg	(from https://coredgex.com/)
01:47:59	90068/90068	---MC-	200	added ('OK')	text/javascript	date:Sun,%2003%20Mar%202024%2000:47:58%20GMT	https://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	C:/Users/USER/Documents/Projects/farmfinance/translate.google.com/translate_a/elementa0d8.js	(from https://coredgex.com/)
01:48:00	19653/19653	---MCZ	200	added ('OK')	application/javascript	etag:W/%22659e3d66-4cc5%22	https://www.smartsuppchat.com/loader.js?	C:/Users/USER/Documents/Projects/farmfinance/www.smartsuppchat.com/loaderd41d.js	(from https://coredgex.com/)
01:48:00	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Mar%202024%2000:48:00%20GMT	https://coredgex.com/%e2%80%9chttps://www.smartsupp.com%e2%80%9d	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/%e2%80%9chttps_/www.smartsupp.com%e2%80%9d	(from https://coredgex.com/)
